sessionnum,condition,playerid,decision0d1c,previous_decision,round_num,num_neighbors,group_size,fluid_dummy,_Icondition_2,_Icondition_3,_Icondition_4
19,Fluid,1901,1,,1,3,33,1,0,0,0
40,Fluid,4009,1,,1,4,20,1,0,0,0
52,Fluid,5210,0,,1,8,31,1,0,0,0
19,Fluid,1910,1,,1,6,33,1,0,0,0
23,Fluid,2318,1,,1,4,23,1,0,0,0
15,Fluid,1509,1,,1,2,17,1,0,0,0
27,Fluid,2732,0,,1,4,25,1,0,0,0
34,Fluid,3406,1,,1,3,19,1,0,0,0
23,Fluid,2303,1,,1,4,23,1,0,0,0
52,Fluid,5211,1,,1,5,31,1,0,0,0
52,Fluid,5202,0,,1,7,31,1,0,0,0
40,Fluid,4017,0,,1,5,20,1,0,0,0
27,Fluid,2725,1,,1,4,25,1,0,0,0
19,Fluid,1924,1,,1,4,33,1,0,0,0
47,Fluid,4714,1,,1,2,15,1,0,0,0
23,Fluid,2322,1,,1,3,23,1,0,0,0
27,Fluid,2726,1,,1,8,25,1,0,0,0
4,Fluid,433,0,,1,8,32,1,0,0,0
47,Fluid,4701,0,,1,2,15,1,0,0,0
23,Fluid,2305,1,,1,4,23,1,0,0,0
4,Fluid,404,1,,1,6,32,1,0,0,0
19,Fluid,1928,0,,1,4,33,1,0,0,0
34,Fluid,3416,0,,1,2,19,1,0,0,0
15,Fluid,1502,1,,1,2,17,1,0,0,0
4,Fluid,425,1,,1,4,32,1,0,0,0
40,Fluid,4014,0,,1,1,20,1,0,0,0
47,Fluid,4713,1,,1,5,15,1,0,0,0
10,Fluid,1014,0,,1,6,25,1,0,0,0
10,Fluid,1030,0,,1,2,25,1,0,0,0
40,Fluid,4004,1,,1,6,20,1,0,0,0
4,Fluid,402,0,,1,5,32,1,0,0,0
10,Fluid,1001,0,,1,4,25,1,0,0,0
4,Fluid,412,0,,1,6,32,1,0,0,0
27,Fluid,2723,1,,1,8,25,1,0,0,0
4,Fluid,411,1,,1,3,32,1,0,0,0
10,Fluid,1005,0,,1,5,25,1,0,0,0
4,Fluid,432,1,,1,9,32,1,0,0,0
4,Fluid,416,1,,1,6,32,1,0,0,0
47,Fluid,4712,0,,1,3,15,1,0,0,0
4,Fluid,414,1,,1,5,32,1,0,0,0
52,Fluid,5236,1,,1,6,31,1,0,0,0
4,Fluid,421,0,,1,10,32,1,0,0,0
4,Fluid,408,1,,1,6,32,1,0,0,0
15,Fluid,1517,0,,1,3,17,1,0,0,0
4,Fluid,420,1,,1,4,32,1,0,0,0
4,Fluid,426,1,,1,8,32,1,0,0,0
19,Fluid,1913,1,,1,6,33,1,0,0,0
27,Fluid,2713,1,,1,7,25,1,0,0,0
23,Fluid,2314,1,,1,8,23,1,0,0,0
52,Fluid,5212,1,,1,6,31,1,0,0,0
19,Fluid,1916,1,,1,11,33,1,0,0,0
4,Fluid,430,1,,1,6,32,1,0,0,0
52,Fluid,5222,0,,1,6,31,1,0,0,0
19,Fluid,1938,1,,1,3,33,1,0,0,0
27,Fluid,2700,0,,1,4,25,1,0,0,0
34,Fluid,3408,1,,1,2,19,1,0,0,0
15,Fluid,1507,0,,1,2,17,1,0,0,0
4,Fluid,410,0,,1,2,32,1,0,0,0
52,Fluid,5204,1,,1,6,31,1,0,0,0
34,Fluid,3402,0,,1,5,19,1,0,0,0
27,Fluid,2717,1,,1,7,25,1,0,0,0
27,Fluid,2703,1,,1,4,25,1,0,0,0
27,Fluid,2701,1,,1,8,25,1,0,0,0
52,Fluid,5224,0,,1,3,31,1,0,0,0
52,Fluid,5208,0,,1,7,31,1,0,0,0
27,Fluid,2729,1,,1,5,25,1,0,0,0
52,Fluid,5237,0,,1,7,31,1,0,0,0
10,Fluid,1024,1,,1,1,25,1,0,0,0
15,Fluid,1519,1,,1,4,17,1,0,0,0
19,Fluid,1918,1,,1,3,33,1,0,0,0
23,Fluid,2300,0,,1,6,23,1,0,0,0
52,Fluid,5235,0,,1,7,31,1,0,0,0
27,Fluid,2704,1,,1,8,25,1,0,0,0
19,Fluid,1923,1,,1,5,33,1,0,0,0
10,Fluid,1029,1,,1,1,25,1,0,0,0
19,Fluid,1911,0,,1,4,33,1,0,0,0
10,Fluid,1018,1,,1,5,25,1,0,0,0
19,Fluid,1907,0,,1,7,33,1,0,0,0
52,Fluid,5213,0,,1,4,31,1,0,0,0
23,Fluid,2321,1,,1,4,23,1,0,0,0
15,Fluid,1505,1,,1,2,17,1,0,0,0
34,Fluid,3407,0,,1,4,19,1,0,0,0
10,Fluid,1000,1,,1,5,25,1,0,0,0
52,Fluid,5201,1,,1,8,31,1,0,0,0
10,Fluid,1007,0,,1,5,25,1,0,0,0
34,Fluid,3412,0,,1,3,19,1,0,0,0
52,Fluid,5203,1,,1,9,31,1,0,0,0
52,Fluid,5209,1,,1,5,31,1,0,0,0
4,Fluid,436,0,,1,5,32,1,0,0,0
4,Fluid,413,1,,1,3,32,1,0,0,0
52,Fluid,5225,0,,1,4,31,1,0,0,0
4,Fluid,401,0,,1,9,32,1,0,0,0
27,Fluid,2708,1,,1,4,25,1,0,0,0
4,Fluid,423,0,,1,6,32,1,0,0,0
10,Fluid,1008,1,,1,6,25,1,0,0,0
40,Fluid,4000,1,,1,4,20,1,0,0,0
15,Fluid,1500,0,,1,5,17,1,0,0,0
19,Fluid,1919,1,,1,4,33,1,0,0,0
52,Fluid,5232,0,,1,6,31,1,0,0,0
10,Fluid,1020,1,,1,4,25,1,0,0,0
34,Fluid,3414,1,,1,6,19,1,0,0,0
23,Fluid,2317,0,,1,4,23,1,0,0,0
10,Fluid,1019,1,,1,3,25,1,0,0,0
19,Fluid,1904,0,,1,5,33,1,0,0,0
10,Fluid,1002,1,,1,2,25,1,0,0,0
15,Fluid,1506,1,,1,4,17,1,0,0,0
4,Fluid,429,1,,1,3,32,1,0,0,0
40,Fluid,4003,1,,1,3,20,1,0,0,0
19,Fluid,1930,0,,1,11,33,1,0,0,0
34,Fluid,3409,0,,1,1,19,1,0,0,0
19,Fluid,1917,1,,1,10,33,1,0,0,0
4,Fluid,419,1,,1,5,32,1,0,0,0
40,Fluid,4020,1,,1,0,20,1,0,0,0
4,Fluid,400,1,,1,8,32,1,0,0,0
19,Fluid,1922,1,,1,7,33,1,0,0,0
27,Fluid,2711,1,,1,2,25,1,0,0,0
10,Fluid,1012,1,,1,7,25,1,0,0,0
10,Fluid,1021,1,,1,6,25,1,0,0,0
23,Fluid,2313,0,,1,5,23,1,0,0,0
4,Fluid,422,0,,1,5,32,1,0,0,0
52,Fluid,5230,0,,1,6,31,1,0,0,0
4,Fluid,405,0,,1,7,32,1,0,0,0
19,Fluid,1903,1,,1,5,33,1,0,0,0
19,Fluid,1937,1,,1,6,33,1,0,0,0
27,Fluid,2715,1,,1,5,25,1,0,0,0
15,Fluid,1508,1,,1,0,17,1,0,0,0
47,Fluid,4709,0,,1,4,15,1,0,0,0
47,Fluid,4716,1,,1,5,15,1,0,0,0
40,Fluid,4005,1,,1,2,20,1,0,0,0
27,Fluid,2718,1,,1,5,25,1,0,0,0
10,Fluid,1010,1,,1,3,25,1,0,0,0
47,Fluid,4718,1,,1,2,15,1,0,0,0
27,Fluid,2712,1,,1,5,25,1,0,0,0
52,Fluid,5240,0,,1,7,31,1,0,0,0
40,Fluid,4002,1,,1,8,20,1,0,0,0
4,Fluid,415,0,,1,8,32,1,0,0,0
23,Fluid,2306,1,,1,7,23,1,0,0,0
23,Fluid,2325,1,,1,4,23,1,0,0,0
19,Fluid,1909,1,,1,8,33,1,0,0,0
34,Fluid,3411,1,,1,3,19,1,0,0,0
40,Fluid,4011,1,,1,4,20,1,0,0,0
52,Fluid,5223,1,,1,4,31,1,0,0,0
19,Fluid,1921,0,,1,7,33,1,0,0,0
34,Fluid,3418,0,,1,3,19,1,0,0,0
34,Fluid,3420,1,,1,3,19,1,0,0,0
19,Fluid,1929,1,,1,8,33,1,0,0,0
27,Fluid,2731,1,,1,4,25,1,0,0,0
52,Fluid,5227,1,,1,5,31,1,0,0,0
27,Fluid,2702,0,,1,5,25,1,0,0,0
19,Fluid,1908,0,,1,9,33,1,0,0,0
34,Fluid,3404,1,,1,3,19,1,0,0,0
19,Fluid,1912,1,,1,10,33,1,0,0,0
34,Fluid,3421,1,,1,2,19,1,0,0,0
27,Fluid,2714,0,,1,4,25,1,0,0,0
10,Fluid,1017,1,,1,2,25,1,0,0,0
34,Fluid,3419,1,,1,5,19,1,0,0,0
23,Fluid,2307,0,,1,1,23,1,0,0,0
23,Fluid,2309,1,,1,9,23,1,0,0,0
19,Fluid,1936,1,,1,7,33,1,0,0,0
47,Fluid,4719,0,,1,2,15,1,0,0,0
23,Fluid,2310,1,,1,4,23,1,0,0,0
40,Fluid,4010,1,,1,4,20,1,0,0,0
34,Fluid,3410,0,,1,4,19,1,0,0,0
52,Fluid,5207,1,,1,4,31,1,0,0,0
34,Fluid,3400,1,,1,3,19,1,0,0,0
15,Fluid,1522,1,,1,2,17,1,0,0,0
19,Fluid,1934,1,,1,6,33,1,0,0,0
15,Fluid,1521,0,,1,3,17,1,0,0,0
23,Fluid,2302,0,,1,3,23,1,0,0,0
27,Fluid,2730,1,,1,3,25,1,0,0,0
19,Fluid,1900,1,,1,5,33,1,0,0,0
15,Fluid,1516,0,,1,3,17,1,0,0,0
10,Fluid,1011,0,,1,6,25,1,0,0,0
23,Fluid,2301,0,,1,3,23,1,0,0,0
10,Fluid,1003,0,,1,2,25,1,0,0,0
19,Fluid,1925,0,,1,6,33,1,0,0,0
4,Fluid,435,1,,1,5,32,1,0,0,0
47,Fluid,4703,0,,1,5,15,1,0,0,0
27,Fluid,2710,1,,1,3,25,1,0,0,0
40,Fluid,4021,1,,1,1,20,1,0,0,0
40,Fluid,4006,1,,1,4,20,1,0,0,0
47,Fluid,4702,0,,1,4,15,1,0,0,0
10,Fluid,1016,1,,1,3,25,1,0,0,0
23,Fluid,2324,0,,1,1,23,1,0,0,0
4,Fluid,428,1,,1,5,32,1,0,0,0
40,Fluid,4016,1,,1,3,20,1,0,0,0
10,Fluid,1006,1,,1,2,25,1,0,0,0
15,Fluid,1513,1,,1,0,17,1,0,0,0
52,Fluid,5226,0,,1,6,31,1,0,0,0
52,Fluid,5206,1,,1,1,31,1,0,0,0
40,Fluid,4015,1,,1,9,20,1,0,0,0
19,Fluid,1914,1,,1,6,33,1,0,0,0
40,Fluid,4008,1,,1,5,20,1,0,0,0
47,Fluid,4717,1,,1,3,15,1,0,0,0
47,Fluid,4704,0,,1,3,15,1,0,0,0
23,Fluid,2308,0,,1,8,23,1,0,0,0
4,Fluid,417,0,,1,3,32,1,0,0,0
52,Fluid,5233,0,,1,9,31,1,0,0,0
47,Fluid,4722,1,,1,4,15,1,0,0,0
4,Fluid,424,1,,1,9,32,1,0,0,0
19,Fluid,1927,1,,1,7,33,1,0,0,0
34,Fluid,3413,1,,1,3,19,1,0,0,0
34,Fluid,3415,1,,1,4,19,1,0,0,0
23,Fluid,2319,1,,1,3,23,1,0,0,0
10,Fluid,1013,1,,1,5,25,1,0,0,0
27,Fluid,2724,1,,1,6,25,1,0,0,0
27,Fluid,2721,1,,1,8,25,1,0,0,0
52,Fluid,5238,0,,1,6,31,1,0,0,0
15,Fluid,1514,1,,1,5,17,1,0,0,0
40,Fluid,4001,1,,1,6,20,1,0,0,0
40,Fluid,4007,0,,1,4,20,1,0,0,0
40,Fluid,4012,0,,1,3,20,1,0,0,0
40,Fluid,4024,0,,1,2,20,1,0,0,0
27,Fluid,2707,1,,1,4,25,1,0,0,0
23,Fluid,2323,0,,1,3,23,1,0,0,0
15,Fluid,1520,1,,1,5,17,1,0,0,0
52,Fluid,5239,1,,1,4,31,1,0,0,0
19,Fluid,1902,0,,1,11,33,1,0,0,0
52,Fluid,5234,0,,1,10,31,1,0,0,0
52,Fluid,5219,0,,1,5,31,1,0,0,0
27,Fluid,2728,1,,1,3,25,1,0,0,0
52,Fluid,5221,0,,1,5,31,1,0,0,0
23,Fluid,2320,1,,1,6,23,1,0,0,0
15,Fluid,1503,1,,1,4,17,1,0,0,0
47,Fluid,4715,0,,1,8,15,1,0,0,0
19,Fluid,1935,0,,1,5,33,1,0,0,0
47,Fluid,4710,1,,1,2,15,1,0,0,0
34,Fluid,3417,1,,1,5,19,1,0,0,0
4,Fluid,406,1,,1,5,32,1,0,0,0
4,Fluid,409,0,,1,3,32,1,0,0,0
19,Fluid,1905,0,,1,10,33,1,0,0,0
10,Fluid,1009,1,,1,6,25,1,0,0,0
10,Fluid,1015,1,,1,4,25,1,0,0,0
23,Fluid,2304,1,,1,4,23,1,0,0,0
10,Fluid,1027,1,,1,5,25,1,0,0,0
15,Fluid,1515,1,,1,2,17,1,0,0,0
52,Fluid,5228,1,,1,4,31,1,0,0,0
23,Fluid,2312,1,,1,2,23,1,0,0,0
19,Fluid,1915,0,,1,7,33,1,0,0,0
4,Fluid,403,1,,1,9,32,1,0,0,0
4,Fluid,403,1,1,2,12,28,1,0,0,0
10,Fluid,1019,1,1,2,8,23,1,0,0,0
47,Fluid,4701,1,0,2,3,15,1,0,0,0
10,Fluid,1017,1,1,2,5,23,1,0,0,0
27,Fluid,2708,1,1,2,8,24,1,0,0,0
15,Fluid,1516,1,0,2,4,12,1,0,0,0
23,Fluid,2308,0,0,2,8,18,1,0,0,0
19,Fluid,1900,1,1,2,10,28,1,0,0,0
27,Fluid,2713,1,1,2,14,24,1,0,0,0
19,Fluid,1922,0,1,2,12,28,1,0,0,0
34,Fluid,3412,0,0,2,6,18,1,0,0,0
10,Fluid,1018,0,1,2,7,23,1,0,0,0
10,Fluid,1027,0,1,2,7,23,1,0,0,0
19,Fluid,1923,1,1,2,6,28,1,0,0,0
27,Fluid,2723,1,1,2,11,24,1,0,0,0
4,Fluid,413,1,1,2,9,28,1,0,0,0
27,Fluid,2703,1,1,2,5,24,1,0,0,0
10,Fluid,1014,0,0,2,6,23,1,0,0,0
27,Fluid,2702,1,0,2,4,24,1,0,0,0
4,Fluid,421,1,0,2,8,28,1,0,0,0
23,Fluid,2307,1,0,2,1,18,1,0,0,0
19,Fluid,1924,1,1,2,9,28,1,0,0,0
4,Fluid,406,1,1,2,8,28,1,0,0,0
4,Fluid,401,1,0,2,8,28,1,0,0,0
34,Fluid,3413,1,1,2,7,18,1,0,0,0
52,Fluid,5224,0,0,2,10,27,1,0,0,0
10,Fluid,1003,0,0,2,4,23,1,0,0,0
19,Fluid,1916,1,1,2,10,28,1,0,0,0
4,Fluid,435,0,1,2,15,28,1,0,0,0
52,Fluid,5219,0,0,2,6,27,1,0,0,0
4,Fluid,426,1,1,2,8,28,1,0,0,0
15,Fluid,1509,1,1,2,3,12,1,0,0,0
23,Fluid,2318,0,1,2,6,18,1,0,0,0
19,Fluid,1915,0,0,2,12,28,1,0,0,0
47,Fluid,4715,1,0,2,7,15,1,0,0,0
47,Fluid,4713,0,1,2,7,15,1,0,0,0
34,Fluid,3410,0,0,2,8,18,1,0,0,0
23,Fluid,2320,1,1,2,7,18,1,0,0,0
27,Fluid,2712,1,1,2,11,24,1,0,0,0
4,Fluid,423,1,0,2,10,28,1,0,0,0
10,Fluid,1021,1,1,2,9,23,1,0,0,0
19,Fluid,1937,1,1,2,7,28,1,0,0,0
34,Fluid,3418,1,0,2,9,18,1,0,0,0
10,Fluid,1005,0,0,2,6,23,1,0,0,0
19,Fluid,1917,1,1,2,11,28,1,0,0,0
40,Fluid,4005,1,1,2,8,20,1,0,0,0
40,Fluid,4012,0,0,2,6,20,1,0,0,0
10,Fluid,1007,1,0,2,7,23,1,0,0,0
34,Fluid,3404,1,1,2,6,18,1,0,0,0
52,Fluid,5204,0,1,2,9,27,1,0,0,0
27,Fluid,2707,1,1,2,10,24,1,0,0,0
52,Fluid,5212,1,1,2,10,27,1,0,0,0
27,Fluid,2725,0,1,2,10,24,1,0,0,0
23,Fluid,2314,1,1,2,8,18,1,0,0,0
4,Fluid,419,1,1,2,11,28,1,0,0,0
52,Fluid,5226,0,0,2,11,27,1,0,0,0
34,Fluid,3416,0,0,2,4,18,1,0,0,0
23,Fluid,2310,0,1,2,5,18,1,0,0,0
47,Fluid,4710,1,1,2,5,15,1,0,0,0
10,Fluid,1010,1,1,2,7,23,1,0,0,0
19,Fluid,1921,1,0,2,11,28,1,0,0,0
19,Fluid,1925,0,0,2,8,28,1,0,0,0
4,Fluid,429,1,1,2,9,28,1,0,0,0
27,Fluid,2732,1,0,2,7,24,1,0,0,0
4,Fluid,400,1,1,2,7,28,1,0,0,0
52,Fluid,5232,1,0,2,10,27,1,0,0,0
40,Fluid,4014,0,0,2,4,20,1,0,0,0
15,Fluid,1514,1,1,2,3,12,1,0,0,0
15,Fluid,1515,1,1,2,3,12,1,0,0,0
4,Fluid,416,1,1,2,8,28,1,0,0,0
19,Fluid,1905,0,0,2,11,28,1,0,0,0
15,Fluid,1505,0,1,2,4,12,1,0,0,0
4,Fluid,411,0,1,2,6,28,1,0,0,0
15,Fluid,1520,1,1,2,5,12,1,0,0,0
27,Fluid,2710,1,1,2,7,24,1,0,0,0
4,Fluid,422,0,0,2,9,28,1,0,0,0
27,Fluid,2718,1,1,2,10,24,1,0,0,0
27,Fluid,2724,1,1,2,9,24,1,0,0,0
10,Fluid,1008,1,1,2,11,23,1,0,0,0
40,Fluid,4006,1,1,2,9,20,1,0,0,0
40,Fluid,4008,1,1,2,11,20,1,0,0,0
52,Fluid,5237,0,0,2,8,27,1,0,0,0
47,Fluid,4714,1,1,2,4,15,1,0,0,0
4,Fluid,408,1,1,2,10,28,1,0,0,0
34,Fluid,3421,1,1,2,6,18,1,0,0,0
40,Fluid,4003,0,1,2,6,20,1,0,0,0
19,Fluid,1904,0,0,2,6,28,1,0,0,0
47,Fluid,4718,1,1,2,4,15,1,0,0,0
27,Fluid,2728,1,1,2,6,24,1,0,0,0
15,Fluid,1500,0,0,2,6,12,1,0,0,0
10,Fluid,1012,1,1,2,11,23,1,0,0,0
23,Fluid,2319,0,1,2,4,18,1,0,0,0
19,Fluid,1910,1,1,2,8,28,1,0,0,0
4,Fluid,428,1,1,2,9,28,1,0,0,0
47,Fluid,4712,0,0,2,7,15,1,0,0,0
4,Fluid,409,0,0,2,4,28,1,0,0,0
4,Fluid,417,0,0,2,9,28,1,0,0,0
4,Fluid,412,0,0,2,10,28,1,0,0,0
34,Fluid,3408,1,1,2,3,18,1,0,0,0
10,Fluid,1009,1,1,2,10,23,1,0,0,0
27,Fluid,2701,1,1,2,14,24,1,0,0,0
40,Fluid,4002,1,1,2,11,20,1,0,0,0
19,Fluid,1901,1,1,2,13,28,1,0,0,0
52,Fluid,5210,1,0,2,8,27,1,0,0,0
40,Fluid,4001,0,1,2,7,20,1,0,0,0
52,Fluid,5230,0,0,2,13,27,1,0,0,0
23,Fluid,2325,1,1,2,9,18,1,0,0,0
19,Fluid,1934,1,1,2,9,28,1,0,0,0
40,Fluid,4011,1,1,2,7,20,1,0,0,0
10,Fluid,1001,0,0,2,5,23,1,0,0,0
19,Fluid,1935,0,0,2,10,28,1,0,0,0
23,Fluid,2304,1,1,2,6,18,1,0,0,0
27,Fluid,2730,1,1,2,10,24,1,0,0,0
23,Fluid,2309,1,1,2,9,18,1,0,0,0
23,Fluid,2300,0,0,2,6,18,1,0,0,0
4,Fluid,414,0,1,2,10,28,1,0,0,0
15,Fluid,1503,1,1,2,5,12,1,0,0,0
23,Fluid,2323,0,0,2,6,18,1,0,0,0
34,Fluid,3409,0,0,2,6,18,1,0,0,0
40,Fluid,4000,1,1,2,8,20,1,0,0,0
19,Fluid,1914,1,1,2,9,28,1,0,0,0
47,Fluid,4702,0,0,2,5,15,1,0,0,0
34,Fluid,3407,0,0,2,6,18,1,0,0,0
10,Fluid,1030,1,0,2,5,23,1,0,0,0
52,Fluid,5225,0,0,2,7,27,1,0,0,0
34,Fluid,3411,1,1,2,6,18,1,0,0,0
15,Fluid,1517,1,0,2,2,12,1,0,0,0
4,Fluid,410,0,0,2,5,28,1,0,0,0
19,Fluid,1902,1,0,2,12,28,1,0,0,0
52,Fluid,5236,0,1,2,14,27,1,0,0,0
10,Fluid,1013,0,1,2,7,23,1,0,0,0
23,Fluid,2322,1,1,2,3,18,1,0,0,0
19,Fluid,1909,1,1,2,8,28,1,0,0,0
40,Fluid,4017,0,0,2,5,20,1,0,0,0
4,Fluid,405,0,0,2,7,28,1,0,0,0
40,Fluid,4020,1,1,2,3,20,1,0,0,0
23,Fluid,2303,0,1,2,8,18,1,0,0,0
10,Fluid,1002,1,1,2,9,23,1,0,0,0
19,Fluid,1912,1,1,2,10,28,1,0,0,0
19,Fluid,1907,0,0,2,8,28,1,0,0,0
15,Fluid,1506,1,1,2,6,12,1,0,0,0
40,Fluid,4021,1,1,2,8,20,1,0,0,0
10,Fluid,1011,0,0,2,8,23,1,0,0,0
10,Fluid,1029,1,1,2,7,23,1,0,0,0
40,Fluid,4010,1,1,2,7,20,1,0,0,0
4,Fluid,433,1,0,2,11,28,1,0,0,0
27,Fluid,2700,1,0,2,4,24,1,0,0,0
4,Fluid,430,1,1,2,11,28,1,0,0,0
19,Fluid,1908,0,0,2,12,28,1,0,0,0
10,Fluid,1000,1,1,2,10,23,1,0,0,0
19,Fluid,1918,1,1,2,9,28,1,0,0,0
4,Fluid,420,1,1,2,7,28,1,0,0,0
15,Fluid,1519,1,1,2,4,12,1,0,0,0
19,Fluid,1919,1,1,2,6,28,1,0,0,0
27,Fluid,2715,1,1,2,10,24,1,0,0,0
40,Fluid,4007,0,0,2,7,20,1,0,0,0
27,Fluid,2721,1,1,2,11,24,1,0,0,0
34,Fluid,3406,1,1,2,6,18,1,0,0,0
40,Fluid,4009,0,1,2,8,20,1,0,0,0
27,Fluid,2731,1,1,2,8,24,1,0,0,0
40,Fluid,4016,1,1,2,5,20,1,0,0,0
52,Fluid,5227,1,1,2,9,27,1,0,0,0
40,Fluid,4015,1,1,2,10,20,1,0,0,0
23,Fluid,2302,0,0,2,5,18,1,0,0,0
34,Fluid,3417,1,1,2,7,18,1,0,0,0
52,Fluid,5202,0,0,2,10,27,1,0,0,0
27,Fluid,2714,0,0,2,6,24,1,0,0,0
34,Fluid,3414,1,1,2,7,18,1,0,0,0
4,Fluid,424,1,1,2,9,28,1,0,0,0
34,Fluid,3420,1,1,2,3,18,1,0,0,0
23,Fluid,2324,0,0,2,1,18,1,0,0,0
23,Fluid,2305,1,1,2,5,18,1,0,0,0
47,Fluid,4716,1,1,2,8,15,1,0,0,0
10,Fluid,1006,0,1,2,5,23,1,0,0,0
19,Fluid,1903,1,1,2,7,28,1,0,0,0
52,Fluid,5233,0,0,2,9,27,1,0,0,0
47,Fluid,4703,0,0,2,6,15,1,0,0,0
47,Fluid,4704,0,0,2,7,15,1,0,0,0
52,Fluid,5238,0,0,2,13,27,1,0,0,0
40,Fluid,4004,1,1,2,10,20,1,0,0,0
52,Fluid,5206,1,1,2,10,27,1,0,0,0
47,Fluid,4717,1,1,2,3,15,1,0,0,0
27,Fluid,2711,1,1,2,7,24,1,0,0,0
10,Fluid,1016,1,1,2,6,23,1,0,0,0
52,Fluid,5235,0,0,2,5,27,1,0,0,0
27,Fluid,2717,1,1,2,13,24,1,0,0,0
4,Fluid,404,1,1,2,9,28,1,0,0,0
10,Fluid,1024,1,1,2,8,23,1,0,0,0
52,Fluid,5234,1,0,2,13,27,1,0,0,0
52,Fluid,5213,0,0,2,12,27,1,0,0,0
47,Fluid,4722,0,1,2,6,15,1,0,0,0
52,Fluid,5203,1,1,2,10,27,1,0,0,0
52,Fluid,5208,1,0,2,7,27,1,0,0,0
52,Fluid,5222,0,0,2,7,27,1,0,0,0
52,Fluid,5228,0,1,2,7,27,1,0,0,0
52,Fluid,5207,1,1,2,11,27,1,0,0,0
52,Fluid,5223,1,1,2,9,27,1,0,0,0
47,Fluid,4719,1,0,2,2,15,1,0,0,0
34,Fluid,3400,1,1,2,8,18,1,0,0,0
52,Fluid,5221,0,0,2,5,27,1,0,0,0
15,Fluid,1513,1,1,2,3,12,1,0,0,0
23,Fluid,2306,0,1,2,11,18,1,0,0,0
52,Fluid,5211,1,1,2,7,27,1,0,0,0
4,Fluid,432,0,1,2,11,28,1,0,0,0
27,Fluid,2726,1,1,2,9,24,1,0,0,0
40,Fluid,4024,0,0,2,4,20,1,0,0,0
19,Fluid,1930,0,0,2,11,28,1,0,0,0
34,Fluid,3419,1,1,2,10,18,1,0,0,0
19,Fluid,1928,1,0,2,10,28,1,0,0,0
