sessionnum,roundnum,playerid,previouslytie,nowtie,playeraction,alteraction,otherD,act,break_,make,state,CC,DD
4,1,428,0,1,C,C,0,1,,1,CC,1,0
4,1,412,0,1,D,C,0,1,,1,DC,0,0
4,1,422,1,1,D,C,0,0,0,,DC,0,0
4,1,404,1,1,C,C,0,0,0,,CC,1,0
4,1,426,1,1,C,C,0,0,0,,CC,1,0
4,1,411,0,0,C,D,1,0,,0,CD,0,0
4,1,406,0,0,C,C,0,0,,0,CC,1,0
4,1,423,1,1,D,C,0,0,0,,DC,0,0
4,1,415,1,1,D,C,0,0,0,,DC,0,0
4,1,408,1,1,C,C,0,0,0,,CC,1,0
4,1,405,0,1,D,C,0,1,,1,DC,0,0
4,1,433,1,1,D,C,0,0,0,,DC,0,0
4,1,410,1,1,D,D,1,0,0,,DD,0,1
4,1,412,0,1,D,D,1,1,,1,DD,0,1
4,1,428,0,1,C,C,0,1,,1,CC,1,0
4,1,430,1,0,C,C,0,1,1,,CC,1,0
4,1,432,1,0,C,D,1,1,1,,CD,0,0
4,1,400,1,0,C,D,1,1,1,,CD,0,0
4,1,417,1,1,D,C,0,0,0,,DC,0,0
4,1,413,1,0,C,D,1,1,1,,CD,0,0
4,1,422,1,0,D,D,1,1,1,,DD,0,1
4,1,401,1,0,D,C,0,1,1,,DC,0,0
4,1,419,1,1,C,D,1,0,0,,CD,0,0
4,1,404,1,1,C,C,0,0,0,,CC,1,0
4,1,414,0,1,C,C,0,1,,1,CC,1,0
4,1,416,0,1,C,C,0,1,,1,CC,1,0
4,1,411,0,1,C,C,0,1,,1,CC,1,0
4,1,423,1,1,D,C,0,0,0,,DC,0,0
4,1,406,0,1,C,D,1,1,,1,CD,0,0
4,1,412,0,1,D,C,0,1,,1,DC,0,0
4,1,405,0,1,D,D,1,1,,1,DD,0,1
4,1,426,0,0,C,D,1,0,,0,CD,0,0
4,1,415,0,1,D,C,0,1,,1,DC,0,0
4,1,421,0,0,D,C,0,0,,0,DC,0,0
4,1,428,0,1,C,C,0,1,,1,CC,1,0
4,1,402,1,0,D,D,1,1,1,,DD,0,1
4,1,416,0,0,C,C,0,0,,0,CC,1,0
4,1,408,0,1,C,D,1,1,,1,CD,0,0
4,1,423,1,1,D,C,0,0,0,,DC,0,0
4,1,404,0,0,C,C,0,0,,0,CC,1,0
4,1,412,0,1,D,C,0,1,,1,DC,0,0
4,1,424,1,0,C,D,1,1,1,,CD,0,0
4,1,409,1,0,D,C,0,1,1,,DC,0,0
4,1,425,0,1,C,C,0,1,,1,CC,1,0
4,1,435,1,1,C,C,0,0,0,,CC,1,0
4,1,432,0,1,C,C,0,1,,1,CC,1,0
4,1,410,0,0,D,D,1,0,,0,DD,0,1
4,1,415,0,1,D,C,0,1,,1,DC,0,0
4,1,433,0,0,D,D,1,0,,0,DD,0,1
4,1,422,0,0,D,D,1,0,,0,DD,0,1
4,1,400,1,0,C,D,1,1,1,,CD,0,0
4,1,419,0,1,C,C,0,1,,1,CC,1,0
4,1,401,0,1,D,D,1,1,,1,DD,0,1
4,1,406,0,1,C,D,1,1,,1,CD,0,0
4,1,426,0,0,C,D,1,0,,0,CD,0,0
4,1,403,1,0,C,D,1,1,1,,CD,0,0
4,1,428,0,0,C,D,1,0,,0,CD,0,0
4,1,417,0,1,D,C,0,1,,1,DC,0,0
4,1,402,0,1,D,D,1,1,,1,DD,0,1
4,1,423,1,1,D,C,0,0,0,,DC,0,0
4,1,416,0,0,C,D,1,0,,0,CD,0,0
4,1,429,0,1,C,D,1,1,,1,CD,0,0
4,1,415,0,1,D,D,1,1,,1,DD,0,1
4,1,424,1,1,C,C,0,0,0,,CC,1,0
4,1,404,0,1,C,C,0,1,,1,CC,1,0
4,1,413,1,1,C,C,0,0,0,,CC,1,0
4,1,422,0,1,D,C,0,1,,1,DC,0,0
4,1,410,0,1,D,D,1,1,,1,DD,0,1
4,1,406,0,0,C,C,0,0,,0,CC,1,0
4,1,419,0,1,C,D,1,1,,1,CD,0,0
4,1,414,0,1,C,C,0,1,,1,CC,1,0
4,1,433,0,1,D,C,0,1,,1,DC,0,0
4,1,423,1,1,D,C,0,0,0,,DC,0,0
4,1,415,0,1,D,C,0,1,,1,DC,0,0
4,1,402,0,0,D,D,1,0,,0,DD,0,1
4,1,426,0,0,C,C,0,0,,0,CC,1,0
4,1,420,1,1,C,C,0,0,0,,CC,1,0
4,1,422,0,1,D,C,0,1,,1,DC,0,0
4,1,417,0,1,D,C,0,1,,1,DC,0,0
4,1,416,0,0,C,D,1,0,,0,CD,0,0
4,1,429,0,1,C,C,0,1,,1,CC,1,0
4,1,404,0,0,C,D,1,0,,0,CD,0,0
4,1,413,0,1,C,C,0,1,,1,CC,1,0
4,1,406,0,0,C,C,0,0,,0,CC,1,0
4,1,432,0,1,C,C,0,1,,1,CC,1,0
4,1,401,0,0,D,D,1,0,,0,DD,0,1
4,1,409,1,0,D,C,0,1,1,,DC,0,0
4,1,419,0,0,C,C,0,0,,0,CC,1,0
4,1,433,0,1,D,C,0,1,,1,DC,0,0
4,1,435,0,1,C,D,1,1,,1,CD,0,0
4,1,410,0,1,D,D,1,1,,1,DD,0,1
4,1,424,0,1,C,C,0,1,,1,CC,1,0
4,1,400,0,1,C,C,0,1,,1,CC,1,0
4,1,414,0,1,C,C,0,1,,1,CC,1,0
4,1,404,0,1,C,C,0,1,,1,CC,1,0
4,1,423,0,1,D,C,0,1,,1,DC,0,0
4,1,429,0,0,C,D,1,0,,0,CD,0,0
4,1,416,0,0,C,D,1,0,,0,CD,0,0
4,1,436,1,1,D,C,0,0,0,,DC,0,0
4,1,432,0,1,C,C,0,1,,1,CC,1,0
4,1,413,0,1,C,C,0,1,,1,CC,1,0
4,1,417,0,1,D,C,0,1,,1,DC,0,0
4,1,406,0,1,C,D,1,1,,1,CD,0,0
4,1,402,0,1,D,C,0,1,,1,DC,0,0
4,1,410,0,1,D,D,1,1,,1,DD,0,1
4,1,400,0,1,C,C,0,1,,1,CC,1,0
4,1,424,0,1,C,C,0,1,,1,CC,1,0
4,1,419,0,0,C,D,1,0,,0,CD,0,0
4,1,414,0,1,C,C,0,1,,1,CC,1,0
4,1,404,0,0,C,D,1,0,,0,CD,0,0
4,1,416,0,0,C,C,0,0,,0,CC,1,0
4,1,432,0,1,C,C,0,1,,1,CC,1,0
4,1,435,0,1,C,C,0,1,,1,CC,1,0
4,1,429,0,1,C,C,0,1,,1,CC,1,0
4,1,423,0,1,D,C,0,1,,1,DC,0,0
4,1,436,0,1,D,D,1,1,,1,DD,0,1
4,1,402,0,1,D,C,0,1,,1,DC,0,0
4,1,404,0,0,C,D,1,0,,0,CD,0,0
4,1,413,0,0,C,D,1,0,,0,CD,0,0
4,1,417,0,1,D,C,0,1,,1,DC,0,0
4,1,424,0,0,C,D,1,0,,0,CD,0,0
4,1,403,0,1,C,D,1,1,,1,CD,0,0
4,1,435,0,1,C,D,1,1,,1,CD,0,0
4,1,421,0,1,D,D,1,1,,1,DD,0,1
4,1,436,0,1,D,D,1,1,,1,DD,0,1
4,1,423,0,0,D,D,1,0,,0,DD,0,1
4,1,417,0,1,D,D,1,1,,1,DD,0,1
4,1,409,0,0,D,C,0,0,,0,DC,0,0
4,1,402,0,1,D,C,0,1,,1,DC,0,0
4,1,420,0,1,C,C,0,1,,1,CC,1,0
4,1,435,0,1,C,C,0,1,,1,CC,1,0
4,1,423,0,0,D,C,0,0,,0,DC,0,0
4,1,402,0,0,D,C,0,0,,0,DC,0,0
4,1,403,0,1,C,C,0,1,,1,CC,1,0
4,1,423,0,0,D,C,0,0,,0,DC,0,0
4,1,435,0,1,C,C,0,1,,1,CC,1,0
4,1,409,0,1,D,C,0,1,,1,DC,0,0
4,1,403,0,0,C,C,0,0,,0,CC,1,0
4,1,435,0,1,C,C,0,1,,1,CC,1,0
4,1,435,0,1,C,C,0,1,,1,CC,1,0
4,1,403,0,0,C,D,1,0,,0,CD,0,0
4,1,409,0,0,D,D,1,0,,0,DD,0,1
4,1,435,0,1,C,D,1,1,,1,CD,0,0
4,1,420,0,0,C,D,1,0,,0,CD,0,0
4,1,409,0,0,D,D,1,0,,0,DD,0,1
4,1,420,0,1,C,C,0,1,,1,CC,1,0
4,1,409,0,1,D,C,0,1,,1,DC,0,0
4,1,409,0,0,D,D,1,0,,0,DD,0,1
4,2,408,1,0,C,D,1,1,1,,CD,0,0
4,2,411,1,1,D,C,0,0,0,,DC,0,0
4,2,419,1,1,C,C,0,0,0,,CC,1,0
4,2,412,1,1,D,D,1,0,0,,DD,0,1
4,2,416,0,0,C,D,1,0,,0,CD,0,0
4,2,413,1,0,C,D,1,1,1,,CD,0,0
4,2,429,1,0,C,C,0,1,1,,CC,1,0
4,2,423,1,1,C,C,0,0,0,,CC,1,0
4,2,410,1,1,D,D,1,0,0,,DD,0,1
4,2,424,1,0,C,D,1,1,1,,CD,0,0
4,2,428,0,0,C,D,1,0,,0,CD,0,0
4,2,408,0,1,C,C,0,1,,1,CC,1,0
4,2,404,1,1,C,C,0,0,0,,CC,1,0
4,2,412,1,1,D,D,1,0,0,,DD,0,1
4,2,435,1,1,D,C,0,0,0,,DC,0,0
4,2,401,1,1,C,C,0,0,0,,CC,1,0
4,2,417,1,0,D,D,1,1,1,,DD,0,1
4,2,419,1,1,C,D,1,0,0,,CD,0,0
4,2,406,1,0,C,D,1,1,1,,CD,0,0
4,2,426,1,1,C,C,0,0,0,,CC,1,0
4,2,433,1,0,C,D,1,1,1,,CD,0,0
4,2,423,1,1,C,C,0,0,0,,CC,1,0
4,2,413,1,1,C,C,0,0,0,,CC,1,0
4,2,409,0,0,D,D,1,0,,0,DD,0,1
4,2,429,1,0,C,D,1,1,1,,CD,0,0
4,2,424,1,1,C,C,0,0,0,,CC,1,0
4,2,428,0,1,C,C,0,1,,1,CC,1,0
4,2,435,1,1,D,C,0,0,0,,DC,0,0
4,2,406,0,1,C,D,1,1,,1,CD,0,0
4,2,412,0,1,D,C,0,1,,1,DC,0,0
4,2,426,1,1,C,D,1,0,0,,CD,0,0
4,2,400,0,1,C,C,0,1,,1,CC,1,0
4,2,421,1,1,C,C,0,0,0,,CC,1,0
4,2,423,1,1,C,D,1,0,0,,CD,0,0
4,2,422,1,0,D,C,0,1,1,,DC,0,0
4,2,404,1,0,C,D,1,1,1,,CD,0,0
4,2,410,1,1,D,C,0,0,0,,DC,0,0
4,2,429,0,0,C,C,0,0,,0,CC,1,0
4,2,424,1,1,C,C,0,0,0,,CC,1,0
4,2,401,1,1,C,D,1,0,0,,CD,0,0
4,2,433,0,1,C,C,0,1,,1,CC,1,0
4,2,413,0,1,C,C,0,1,,1,CC,1,0
4,2,408,0,1,C,D,1,1,,1,CD,0,0
4,2,435,0,0,D,C,0,0,,0,DC,0,0
4,2,420,1,1,C,D,1,0,0,,CD,0,0
4,2,426,1,1,C,D,1,0,0,,CD,0,0
4,2,419,0,1,C,C,0,1,,1,CC,1,0
4,2,412,0,1,D,C,0,1,,1,DC,0,0
4,2,417,0,0,D,D,1,0,,0,DD,0,1
4,2,423,1,1,C,C,0,0,0,,CC,1,0
4,2,428,0,0,C,D,1,0,,0,CD,0,0
4,2,430,0,1,C,C,0,1,,1,CC,1,0
4,2,416,0,0,C,D,1,0,,0,CD,0,0
4,2,421,1,1,C,C,0,0,0,,CC,1,0
4,2,409,0,0,D,D,1,0,,0,DD,0,1
4,2,429,0,1,C,D,1,1,,1,CD,0,0
4,2,404,1,0,C,D,1,1,1,,CD,0,0
4,2,424,0,1,C,C,0,1,,1,CC,1,0
4,2,405,1,1,D,C,0,0,0,,DC,0,0
4,2,406,0,1,C,C,0,1,,1,CC,1,0
4,2,426,1,1,C,C,0,0,0,,CC,1,0
4,2,435,0,1,D,D,1,1,,1,DD,0,1
4,2,412,0,1,D,D,1,1,,1,DD,0,1
4,2,422,1,1,D,D,1,0,0,,DD,0,1
4,2,423,0,0,C,C,0,0,,0,CC,1,0
4,2,416,0,1,C,C,0,1,,1,CC,1,0
4,2,428,0,0,C,D,1,0,,0,CD,0,0
4,2,400,0,0,C,D,1,0,,0,CD,0,0
4,2,419,0,0,C,D,1,0,,0,CD,0,0
4,2,429,0,1,C,D,1,1,,1,CD,0,0
4,2,413,0,1,C,C,0,1,,1,CC,1,0
4,2,421,0,1,C,D,1,1,,1,CD,0,0
4,2,411,0,1,D,C,0,1,,1,DC,0,0
4,2,405,1,1,D,C,0,0,0,,DC,0,0
4,2,404,1,1,C,C,0,0,0,,CC,1,0
4,2,414,1,1,D,D,1,0,0,,DD,0,1
4,2,417,0,0,D,D,1,0,,0,DD,0,1
4,2,412,0,1,D,C,0,1,,1,DC,0,0
4,2,424,0,1,C,C,0,1,,1,CC,1,0
4,2,426,0,1,C,D,1,1,,1,CD,0,0
4,2,408,0,1,C,C,0,1,,1,CC,1,0
4,2,428,0,1,C,C,0,1,,1,CC,1,0
4,2,416,0,1,C,C,0,1,,1,CC,1,0
4,2,420,1,1,C,C,0,0,0,,CC,1,0
4,2,423,0,0,C,D,1,0,,0,CD,0,0
4,2,406,0,1,C,C,0,1,,1,CC,1,0
4,2,401,0,1,C,D,1,1,,1,CD,0,0
4,2,422,1,1,D,C,0,0,0,,DC,0,0
4,2,421,0,1,C,D,1,1,,1,CD,0,0
4,2,405,0,0,D,C,0,0,,0,DC,0,0
4,2,400,0,1,C,C,0,1,,1,CC,1,0
4,2,409,0,1,D,C,0,1,,1,DC,0,0
4,2,404,0,1,C,C,0,1,,1,CC,1,0
4,2,428,0,1,C,C,0,1,,1,CC,1,0
4,2,403,1,1,C,C,0,0,0,,CC,1,0
4,2,416,0,0,C,D,1,0,,0,CD,0,0
4,2,426,0,0,C,D,1,0,,0,CD,0,0
4,2,423,0,0,C,C,0,0,,0,CC,1,0
4,2,401,0,1,C,D,1,1,,1,CD,0,0
4,2,405,0,0,D,D,1,0,,0,DD,0,1
4,2,417,0,1,D,C,0,1,,1,DC,0,0
4,2,432,1,0,D,D,1,1,1,,DD,0,1
4,2,414,0,1,D,C,0,1,,1,DC,0,0
4,2,422,0,1,D,C,0,1,,1,DC,0,0
4,2,424,0,1,C,C,0,1,,1,CC,1,0
4,2,404,0,1,C,C,0,1,,1,CC,1,0
4,2,411,0,1,D,C,0,1,,1,DC,0,0
4,2,405,0,1,D,C,0,1,,1,DC,0,0
4,2,403,1,1,C,C,0,0,0,,CC,1,0
4,2,421,0,1,C,C,0,1,,1,CC,1,0
4,2,426,0,1,C,C,0,1,,1,CC,1,0
4,2,401,0,1,C,C,0,1,,1,CC,1,0
4,2,416,0,0,C,D,1,0,,0,CD,0,0
4,2,409,0,1,D,C,0,1,,1,DC,0,0
4,2,432,1,1,D,C,0,0,0,,DC,0,0
4,2,404,0,1,C,C,0,1,,1,CC,1,0
4,2,406,0,0,C,D,1,0,,0,CD,0,0
4,2,417,0,1,D,D,1,1,,1,DD,0,1
